Name,PTS,Collage,Latitude,Longitude
AJ Price,133,University of Connecticut,41.82175755,-72.24277535505323
Aaron Brooks,954,University of Oregon,44.04441965,-123.07176029673084
Aaron Gordon,243,University of Arizona,32.23563985,-110.9517440773026
Adreian Payne,213,Michigan State University,42.70237935,-84.48038686520441
Al Horford,1156,University of Florida,29.6328837,-82.34901302237435
Alan Anderson,545,Michigan State University,42.70237935,-84.48038686520441
Alec Burks,374,University of Colorado,40.00759835,-105.26910078017822
Alex Kirk,4,University of New Mexico,35.08663275,-106.62020940505188
Alex Len,432,University of Maryland,48.0989816,11.582348947691202
Al-Farouq Aminu,412,Wake Forest University,36.134335,-80.2781152
Allen Crabbe,168,University of California,37.875499649999995,-122.23906851395179
Alonzo Gee,241,University of Alabama,33.21208215,-87.53967345126999
Andre Dawkins,3,Duke University,36.00015569999999,-78.94422972195878
Andre Drummond,1130,University of Connecticut,41.82175755,-72.24277535505323
Andre Iguodala,604,University of Arizona,32.23563985,-110.9517440773026
Andre Miller,355,University of Utah,40.762813699999995,-111.83687191368261
Andre Roberson,228,University of Colorado,40.00759835,-105.26910078017822
Andrew Bogut,422,University of Utah,40.762813699999995,-111.83687191368261
Andrew Nicholson,194,St. Bonaventure University,42.0767249,-78.48165258822787
Anthony Bennett,298,"University of Nevada, Las Vegas",36.099448100000004,-115.14422048990326
Anthony Davis,1656,University of Kentucky,38.026629099999994,-84.50472223185739
Anthony Morrow,790,Georgia Institute of Technology,33.776094799999996,-84.3988076699857
Archie Goodwin,231,University of Kentucky,38.026629099999994,-84.50472223185739
Arinze Onuaku,27,Syracuse University,43.017112850000004,-76.11855360009726
Aron Baynes,461,Washington State University,46.7337716,-117.14980348311619
Arron Afflalo,1035,"University of California, Los Angeles",34.070877749999994,-118.44685070595054
Austin Daye,129,Gonzaga University,47.666263400000005,-117.4030665711268
Austin Rivers,530,Duke University,36.00015569999999,-78.94422972195878
Avery Bradley,1071,University of Texas at Austin,30.2851494,-97.73393515146053
Ben Gordon,349,University of Connecticut,41.82175755,-72.24277535505323
Ben McLemore,996,University of Kansas,38.953491799999995,-95.26308879955823
Bernard James,44,Florida State University,30.44235995,-84.29747867166262
Blake Griffin,1469,University of Oklahoma,35.1959878,-97.44570827599858
Bradley Beal,962,University of Florida,29.6328837,-82.34901302237435
Brandon Bass,866,Louisiana State University,30.405761849999998,-91.18597450265686
Brandon Davies,142,Brigham Young University,40.25501105,-111.64968264312222
Brandon Knight,1070,University of Kentucky,38.026629099999994,-84.50472223185739
Brandon Rush,30,University of Kansas,38.953491799999995,-95.26308879955823
Brendan Haywood,35,University of North Carolina,35.90503535,-79.04775326525107
Brian Roberts,480,University of Dayton,39.73845985,-84.17919478013708
Brook Lopez,1236,Stanford University,37.431313849999995,-122.16936535498309
Bryce Cotton,80,Providence College,41.8442938,-71.43548862523096
C.J. Watson,570,University of Tennessee,35.9515612,-83.93087998929315
Cameron Bairstow,10,University of New Mexico,35.08663275,-106.62020940505188
Carl Landry,503,Purdue University,40.430028,-86.92642114650494
Carlos Boozer,836,Duke University,36.00015569999999,-78.94422972195878
Carmelo Anthony,966,Syracuse University,43.017112850000004,-76.11855360009726
Caron Butler,460,University of Connecticut,41.82175755,-72.24277535505323
Cartier Martin,36,Kansas State University,39.20883,-96.58845116318602
Chandler Parsons,1037,University of Florida,29.6328837,-82.34901302237435
Channing Frye,549,University of Arizona,32.23563985,-110.9517440773026
Chase Budinger,457,University of Arizona,32.23563985,-110.9517440773026
Chris Andersen,320,Blinn College,30.160314,-96.40784123102146
Chris Bosh,928,Georgia Institute of Technology,33.776094799999996,-84.3988076699857
Chris Copeland,309,University of Colorado,40.00759835,-105.26910078017822
Chris Douglas-Roberts,19,University of Memphis,35.1189387,-89.93721959965887
Chris Johnson,166,University of Dayton,39.73845985,-84.17919478013708
Chris Kaman,638,Central Michigan University,43.583549950000005,-84.7746403641781
Chris Paul,1564,Wake Forest University,36.134335,-80.2781152
Chuck Hayes,50,University of Kentucky,38.026629099999994,-84.50472223185739
CJ McCollum,424,Lehigh University,40.6068028,-75.3782488
Cleanthony Early,210,Wichita State University,37.71934295,-97.28988783173023
Cole Aldrich,338,University of Kansas,38.953491799999995,-95.26308879955823
Corey Brewer,917,University of Florida,29.6328837,-82.34901302237435
Cory Jefferson,183,Baylor University,31.55043405,-97.1102905567766
Cory Joseph,535,University of Texas at Austin,30.2851494,-97.73393515146053
Courtney Lee,777,Western Kentucky University,36.984528999999995,-86.4576470016944
D.J. Augustin,777,University of Texas at Austin,30.2851494,-97.73393515146053
Dahntay Jones,21,Duke University,36.00015569999999,-78.94422972195878
Damian Lillard,1720,Weber State University,41.1887229,-111.94560279184958
Danny Granger,188,University of New Mexico,35.08663275,-106.62020940505188
Danny Green,946,University of North Carolina,35.90503535,-79.04775326525107
Dante Cunningham,340,Villanova University,40.0367774,-75.34202332002798
Darius Miller,2,University of Kentucky,38.026629099999994,-84.50472223185739
Darius Morris,83,University of Michigan,42.2942142,-83.71003893509601
Darrell Arthur,382,University of Kansas,38.953491799999995,-95.26308879955823
Darren Collison,725,"University of California, Los Angeles",34.070877749999994,-118.44685070595054
David Lee,388,University of Florida,29.6328837,-82.34901302237435
David Stockton,8,Gonzaga University,47.666263400000005,-117.4030665711268
David West,769,Xavier University,39.1513078,-84.47083471474068
DeAndre Jordan,946,Texas A&M University,29.5249639,-95.2364404
DeJuan Blair,56,University of Pittsburgh,40.44415295,-79.96246095144505
DeMar DeRozan,1204,University of Southern California,34.02186895,-118.285857923125
DeMarcus Cousins,1421,University of Kentucky,38.026629099999994,-84.50472223185739
DeMarre Carroll,883,University of Missouri,38.93641465,-92.32970301784542
Derrick Favors,1187,Georgia Institute of Technology,33.776094799999996,-84.3988076699857
Derrick Rose,904,University of Memphis,35.1189387,-89.93721959965887
Devin Harris,665,University of Wisconsin,43.210308,-90.296735
Devyn Marble,37,University of Iowa,41.631102350000006,-91.54075201642047
Dewayne Dedmon,216,University of Southern California,34.02186895,-118.285857923125
Donald Sloan,391,Texas A&M University,29.5249639,-95.2364404
Doug McDermott,109,Creighton University,41.265856549999995,-95.94505553516464
Draymond Green,921,Michigan State University,42.70237935,-84.48038686520441
Drew Gooden,277,University of Kansas,38.953491799999995,-95.26308879955823
Drew Gordon,17,University of New Mexico,35.08663275,-106.62020940505188
Dwight Buycks,52,Marquette University,43.03888115,-87.93158327046632
Dwight Powell,90,Stanford University,37.431313849999995,-122.16936535498309
Earl Barron,32,University of Memphis,35.1189387,-89.93721959965887
Earl Clark,27,University of Louisville,38.21332235,-85.75770751081866
Ed Davis,656,University of North Carolina,35.90503535,-79.04775326525107
Elfrid Payton,731,University of Louisiana at Lafayette,30.21928995,-92.04138304137905
Elton Brand,96,Duke University,36.00015569999999,-78.94422972195878
Eric Bledsoe,1377,University of Kentucky,38.026629099999994,-84.50472223185739
Eric Gordon,818,Indiana University,39.1802358,-86.50935262731483
Erick Green,146,Virginia Polytechnic Institute and State University,37.22192675,-80.42728184013652
E'Twaun Moore,149,Purdue University,40.430028,-86.92642114650494
Evan Turner,779,Vanderbilt University,36.14380105,-86.80281889095295
Francisco Garcia,45,University of Louisville,38.21332235,-85.75770751081866
Gal Mekel,6,Wichita State University,37.71934295,-97.28988783173023
Garrett Temple,204,Louisiana State University,30.405761849999998,-91.18597450265686
Gary Harris,188,Michigan State University,42.70237935,-84.48038686520441
Gary Neal,543,Towson University,39.38697675,-76.61858035588965
George Hill,692,Indiana University-Purdue University Indianapolis,39.774777349999994,-86.1769635756136
Gerald Henderson,969,Duke University,36.00015569999999,-78.94422972195878
Glen Davis,294,Louisiana State University,30.405761849999998,-91.18597450265686
Glen Rice,11,Georgia Institute of Technology,33.776094799999996,-84.3988076699857
Gordon Hayward,1463,Butler University,39.8407191,-86.17374943464814
Gorgui Dieng,710,University of Louisville,38.21332235,-85.75770751081866
Grant Jerrett,16,University of Arizona,32.23563985,-110.9517440773026
Greg Monroe,1098,Georgetown University,38.90893925,-77.07457962060826
Greg Smith,80,"California State University, Fresno",36.820996300000004,-119.73729762569181
Greg Stiemsma,14,University of Wisconsin,43.210308,-90.296735
Greivis Vasquez,775,University of Maryland,48.0989816,11.582348947691202
Harrison Barnes,827,University of North Carolina,35.90503535,-79.04775326525107
Ian Clark,57,Belmont University,36.13278325,-86.79265777214094
Iman Shumpert,496,Georgia Institute of Technology,33.776094799999996,-84.3988076699857
Isaiah Canaan,432,Murray State University,36.6129699,-88.322088
Isaiah Thomas,1101,University of Washington,47.65566435,-122.30270718903485
J.J. Barea,580,Northeastern University,42.33907025,-71.08783833987422
Jabari Brown,227,University of Missouri,38.93641465,-92.32970301784542
Jack Cooley,27,University of Notre Dame,41.704567749999995,-86.23822026017265
Jae Crowder,628,Marquette University,43.03888115,-87.93158327046632
Jamaal Franklin,3,San Diego State University,32.7761529,-117.07330366921886
Jamal Crawford,1010,University of Michigan,42.2942142,-83.71003893509601
Jameer Nelson,523,Saint Joseph's University,39.99652965,-75.24151166935775
James Ennis III,312,"California State University, Long Beach",33.78177085,-118.11520014816904
James Harden,2217,Arizona State University,33.4213174,-111.93316305413154
James Johnson,554,Wake Forest University,36.134335,-80.2781152
James Jones,250,University of Miami,25.71727245,-80.27870688083459
James Michael McAdoo,62,University of North Carolina,35.90503535,-79.04775326525107
JaMychal Green,62,University of Alabama,33.21208215,-87.53967345126999
Jannero Pargo,41,University of Arkansas,36.09352375,-94.17708979491738
Jared Cunningham,35,Oregon State University,44.56305595,-123.28392363395751
Jared Dudley,518,Boston College,42.3354481,-71.16826648999114
Jared Sullinger,770,Ohio State University,40.7988105,-82.5782294
Jarrett Jack,957,Georgia Institute of Technology,33.776094799999996,-84.3988076699857
Jason Maxiell,203,University of Cincinnati,39.1318613,-84.51576195582436
Jason Richardson,172,Michigan State University,42.70237935,-84.48038686520441
JaVale McGee,106,"University of Nevada, Reno",39.5442688,-119.81631051527071
Jeff Adrien,60,University of Connecticut,41.82175755,-72.24277535505323
Jeff Ayres,137,Arizona State University,33.4213174,-111.93316305413154
